DEBUG:unityagents:The true file name is Tennis
DEBUG:unityagents:This is the launch string /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Found path: /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies/Unity Environment
Logging to /root/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: TennisBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 8
        Number of stacked Vector Observation: 3
        Vector Action space type: continuous
        Vector Action space size (per agent): 2
        Vector Action descriptions: , 
INFO:train.py:Episode 65/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 66/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 67/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 68/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 69/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 70/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 71/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 72/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 73/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 74/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 75/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 76/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 77/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 78/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 79/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 80/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 81/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 82/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 83/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 84/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 85/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 86/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 87/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 88/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 89/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 90/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 91/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 92/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
INFO:train.py:Episode 93/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 94/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 95/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 96/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 97/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 15
